hh_id,exp_LCU_Electricity,exp_LCU_Petrol,exp_LCU_Firewood,exp_LCU_Gas,exp_LCU_Biomass,exp_LCU_Diesel,exp_LCU_Coal,hh_expenditures_LCU
19439,1200,NA,NA,NA,NA,NA,NA,52283.046269078506
19440,2400,10800,NA,NA,NA,NA,NA,28158.2
19441,1200,NA,NA,NA,NA,NA,NA,50446.82
19442,2400,9100,NA,NA,NA,NA,NA,94367.73818172647
19443,3000,NA,NA,NA,NA,NA,NA,48350
19444,2400,NA,NA,NA,NA,NA,NA,12660
19445,5360.45107806224,NA,NA,NA,NA,NA,NA,21431.95141455849
19446,2158.95865525949,NA,NA,NA,NA,NA,NA,28953.206088798474
19447,2266.90658802246,14745.366300590831,NA,NA,NA,NA,NA,23064.360191968673
19448,1619.21899144462,NA,NA,NA,NA,NA,NA,70063.72771376494
19449,1619.21899144462,NA,NA,NA,NA,NA,NA,6395.493764078779
19450,2266.90658802246,NA,NA,NA,NA,NA,NA,15856.380083024678
19451,1199.82510647211,NA,NA,NA,NA,NA,NA,15722.87208110232
19452,2399.65021294422,NA,NA,NA,NA,NA,NA,7460.779277408023
19453,5999.12553236054,8910.69701339335,NA,NA,NA,NA,NA,83618.6724924157
19454,1199.82510647211,5914.17943366815,NA,NA,NA,NA,NA,50367.52475664387
19455,2399.65021294422,NA,NA,NA,NA,NA,NA,23605.738086694066
19456,1199.82510647211,NA,NA,NA,NA,NA,NA,17339.792270717342
19457,1199.82510647211,14785.4485841704,NA,NA,NA,NA,NA,54738.45140893704
19458,1199.82510647211,NA,NA,NA,NA,NA,NA,40378.25164564272
19459,2399.65021294422,10842.6622950583,NA,NA,NA,NA,NA,44119.1041621693
19460,1199.82510647211,3252.798688517488,NA,NA,NA,NA,NA,76372.03182149812
19461,2399.65021294422,6545.419518555,NA,NA,NA,NA,NA,20243.70334471416
19462,3599.47531941632,5076.3373472318235,NA,NA,NA,NA,NA,119710.24328812983
19463,1199.82510647211,NA,NA,NA,NA,NA,NA,44601.722897742366
19464,2399.65021294422,6545.419518555,NA,NA,NA,NA,NA,39051.052741277694
19465,1199.82510647211,NA,NA,NA,NA,NA,NA,6678.724572717884
19466,1199.82510647211,NA,NA,NA,NA,NA,NA,10927.915449307993
19468,2639.61523423864,6545.419518555,NA,NA,NA,NA,NA,31342.596618658878
19469,1199.82510647211,NA,NA,NA,NA,NA,NA,22957.738594649847
19470,1079.06247351022,NA,NA,NA,NA,NA,NA,16301.344847489503
19471,1079.06247351022,NA,NA,NA,NA,NA,NA,17180.89990167769
19472,2158.1249470204302,NA,NA,NA,NA,NA,NA,67302.3102186961
19473,1079.06247351022,6413.359468156893,NA,NA,NA,NA,NA,29890.167871896836
19474,1079.06247351022,NA,NA,NA,NA,NA,NA,12778.644735373837
19475,1079.06247351022,NA,NA,NA,NA,NA,NA,32979.58063761615
19476,1079.06247351022,NA,NA,NA,NA,NA,NA,21471.960757599787
19477,1079.06247351022,NA,NA,NA,NA,NA,NA,32582.535001130214
19478,2158.1249470204302,NA,NA,NA,NA,NA,NA,13268.09496683978
19479,4316.2498940408605,NA,NA,NA,NA,NA,NA,28815.34729837338
19480,1079.06247351022,NA,NA,NA,NA,NA,NA,31753.621190943377
19481,1079.06247351022,NA,NA,NA,NA,NA,NA,44398.930018073326
19482,3000,NA,NA,NA,NA,NA,NA,23958.717404529943
