hh_id,hh_size,hh_weights,province,urban_1,electricitycon,electricitymains,electricitysource,electricityfree,cookingsource,lightingsource,heatingsourcewater,heatingsourcespace,income,consumption,education_hhh,own_stove,own_vehicle,gender_hhh,ethnicity_hhh
139,3,647.0221771,1,1,1,1,8,2,1,1,1,11,287699.74212,292922.90774,24,1,1,1,4
140,4,485.69140413,1,1,1,1,8,2,1,1,1,11,72312.109097,72624.26017,12,1,3,1,2
141,4,590.79343134,1,1,1,1,8,2,1,1,1,11,36438.739517,38476.551668,9,1,3,2,2
142,2,433.30873762,1,1,1,1,8,9,1,1,1,11,27106.418457,62227.279688,8,1,3,2,2
143,6,561.88489414,1,1,1,1,8,2,1,1,1,11,123786.81415,66656.18867,11,1,3,2,2
144,5,485.69140413,1,1,1,1,8,2,1,1,1,11,98228.301029,45295.9656,13,1,3,1,2
145,4,637.69165251,1,5,1,1,8,2,1,1,1,11,87103.751259,36458.346036,8,1,3,2,2
146,3,826.91456589,1,5,1,1,8,2,1,1,1,11,63150.823543,45409.24595,9,1,3,2,2
147,4,766.92245869,1,5,1,1,8,2,1,1,1,11,351708.16775,251039.65429,25,1,1,1,3
148,3,1083.0713896,1,5,1,1,8,2,1,1,1,1,291544.54071,134669.79662,18,1,1,1,1
149,4,616.36132404,1,5,1,1,8,2,1,1,1,1,336160.25282,377485.81131,27,1,1,1,4
150,3,638.10919104,1,5,1,1,8,2,1,1,1,11,58234.228229,52997.293079,6,1,3,1,2
151,3,638.10919104,1,5,1,1,8,2,1,1,1,11,43217.728312,28990.63855,7,1,3,1,2
152,5,638.10919104,1,5,1,1,8,2,1,1,1,1,111168.3969,88227.842774,7,1,3,1,2
153,4,667.26754361,1,5,1,1,8,2,1,1,1,1,58701.069257,35521.806573,98,1,3,2,1
154,1,679.61031455,1,5,1,1,8,2,1,1,1,11,49326.567394,12015.232932,9,1,3,1,1
155,1,720.77450961,1,5,1,1,8,2,1,1,1,11,31934.248776,18273.122294,8,1,3,1,2
156,11,720.77450961,1,5,1,1,8,2,1,1,1,1,122270.98974,115238.63142,9,1,3,1,2
157,2,643.4587584,1,5,1,1,8,2,1,1,1,6,38636.6904,15334.314312,5,1,3,1,2
158,3,643.4587584,1,5,1,1,8,2,1,1,1,11,37448.92629,39522.06474,5,1,3,1,2
159,3,845.01838534,1,5,1,1,8,2,1,1,1,1,33100.335373,36462.253084,4,1,3,1,1
160,2,643.4587584,1,5,1,1,8,2,1,1,1,11,51607.25809,29059.746760000002,10,1,3,1,2
161,3,720.77450961,1,5,1,1,8,2,1,1,1,1,57182.557441,40664.416594,10,1,3,1,2
162,2,502.25260535,1,5,1,1,8,2,1,1,1,11,33118.231184,20719.077056,98,1,3,1,2
163,8,643.4587584,1,5,1,1,8,2,1,1,1,1,57972.788616,74137.627309,9,1,3,1,2
164,3,725.6028213,1,5,1,1,8,2,1,1,1,1,1132252.3619,333344.98392,27,1,1,1,4
165,4,467.84027903,1,1,1,1,8,2,1,1,1,1,504180,368589.86,25,1,1,2,2
166,2,365.41246636,1,1,1,1,8,2,1,1,1,1,855278,237721.58,25,1,1,1,2
167,2,365.41246636,1,1,1,1,8,2,1,1,1,10,655588.27273,202958.74,25,1,1,1,2
168,4,524.39746144,1,1,1,1,8,2,1,1,1,11,125501.25,60014.05,13,1,1,1,2
169,5,365.41246636,1,1,1,1,8,2,1,1,1,11,115340.25,62297.332387,13,1,1,1,2
170,3,606.66301608,1,1,1,1,8,2,1,1,1,11,81668.25,64739.591601,13,1,3,2,2
171,7,467.84027903,1,1,1,1,8,2,1,1,1,11,64187.25,47722.15,5,1,1,2,2
172,4,468.14660473,1,1,1,1,8,1,1,1,1,11,171233.22119,131260.21,9,1,1,1,2
173,3,394.39542431,1,1,1,1,8,1,1,1,1,11,65777.25,37368.091601,4,1,3,2,2
174,5,365.41246636,1,1,1,1,8,2,1,1,1,11,195756.25,127807.97,7,1,1,1,2
175,7,467.84027903,1,1,1,1,8,2,1,1,1,1,202512.25,68225.933988,7,1,3,2,2
176,5,467.84027903,1,1,1,2,1,2,1,1,1,11,108375.125,32820.351667,6,1,3,2,2
177,6,490.66451463,1,1,1,1,8,2,1,1,1,1,690782.34083,652997.63375,29,1,1,1,4
178,5,490.66451463,1,1,1,1,8,2,1,3,1,5,917684.12824,592292.20056,29,1,1,1,4
179,1,656.37245094,1,1,1,1,8,2,1,1,1,1,489012.47288,126437.69469,24,2,2,2,4
180,1,758.02184784,1,1,1,1,8,2,1,1,1,1,93890.394792,134021.96398,26,1,1,1,4
181,2,758.02184784,1,1,1,1,8,2,1,1,1,1,404404.53131,354180.35304,14,1,1,1,4
182,6,490.66451463,1,1,1,1,8,2,3,1,1,1,576821.54549,656150.3768,14,1,1,1,4
183,2,572.82572991,1,1,1,1,8,2,1,1,1,5,217507.89704,260443.44965,12,1,1,1,4
184,4,490.66451463,1,1,1,1,8,2,1,1,1,5,520552.16759,754105.58833,13,1,1,1,4
185,4,468.14660473,1,1,1,1,8,2,1,1,1,1,244693.18877,86449.918124,10,1,1,1,2
186,8,275.66571238,1,1,1,1,8,2,1,1,1,1,72221.126728,41574.076005,7,1,3,1,2
187,7,467.84027903,1,1,1,1,8,2,1,1,1,1,144107.48183,89006.598202,8,1,2,2,2
188,4,275.66571238,1,1,1,1,8,9,1,1,1,5,92989.513909,236792.1287,8,1,3,1,2
189,3,365.41246636,1,1,1,1,8,1,1,1,1,1,44622.600741,72073.047369,7,1,3,1,2
190,3,467.84027903,1,1,1,1,8,2,1,1,1,1,38121.70496,95950.68041,10,1,1,2,2
191,5,468.14660473,1,1,1,1,8,2,1,1,1,11,19537.373792,53208.367764,10,1,3,1,2
192,4,494.44856744,1,1,1,1,8,2,1,1,1,3,457010.4602,179609.74005,12,1,1,1,1
193,3,365.41246636,1,1,1,1,8,2,1,1,1,1,261288.04346,101256.43346,12,1,1,1,2
194,4,394.39542431,1,1,1,1,8,2,1,1,1,1,47651.626256,56718.124507,8,1,1,2,2
195,1,735.64643795,1,1,1,1,8,2,3,1,1,1,96000,99718.22,13,1,1,1,4
196,1,401.85645915,1,1,1,1,8,2,3,1,1,1,263791.92857,140788.2,22,1,1,1,4
197,5,476.18100117,1,1,1,1,8,2,3,1,1,1,1097025,554437.56,24,1,1,1,4
198,3,1704.7664065,1,2,1,1,8,1,1,1,1,4,4483.694009,54002.521249,9,1,1,1,1
199,2,2795.0082663,1,2,1,2,1,3,1,1,1,4,0,19720.837995,6,1,3,2,1
200,2,2739.6035316,1,2,1,2,1,2,1,1,1,4,4752.71565,40251.850901,10,1,3,1,1
201,2,2795.0082663,1,2,2,8,8,8,4,4,4,4,35869.552075,7559.670384,10,1,3,2,1
202,3,1920.7917577,1,2,1,2,1,2,1,1,1,4,4782.606943,28811.417686,12,1,3,2,1
203,5,2739.6035316,1,2,1,2,1,2,1,1,1,4,54402.153981,33601.687443,10,1,3,1,1
204,4,1920.7917577,1,2,1,2,1,2,1,1,1,4,16842.747452,37308.699394,12,1,3,2,1
205,1,2795.0082663,1,2,1,2,1,2,1,1,1,4,5559.780572,15570.650723,12,1,3,2,1
206,3,2119.6837738,1,2,1,2,1,2,1,1,1,1,1494.56467,25187.749073,8,1,3,1,1
207,2,2739.6035316,1,2,1,2,1,2,1,1,1,1,2391.303472,16369.001088,6,1,3,1,1
208,3,2739.6035316,1,2,1,2,1,2,1,1,1,1,1594.202314,15497.041239,8,1,3,1,1
209,2,2119.6837738,1,2,1,2,2,2,1,1,1,4,2989.12934,11913.472103,10,1,3,1,1
210,2,2739.6035316,1,2,1,1,8,2,1,1,1,4,22179.3397,12062.652399,12,3,3,1,1
211,6,1704.7664065,1,2,1,1,8,1,1,1,1,4,33446.364557,19852.940766,3,1,3,1,1
212,2,2795.0082663,1,2,1,2,1,3,1,1,1,4,5671.374734,37570.930733,10,1,3,2,1
213,2,590.95908378,1,1,1,1,8,2,1,1,1,1,532868.29179,220455.22418,24,1,1,1,4
214,3,1081.821469,1,1,1,1,8,2,1,1,1,5,1104997.5933,563164.70766,29,1,1,1,4
215,1,1272.0455196,1,1,1,1,8,2,1,1,1,5,301060.9577,350838.41666,24,1,1,2,4
216,5,700.25871616,1,1,1,1,8,2,3,1,1,5,624980.24631,620869.48449,27,1,1,1,4
217,4,374.61671344,1,5,1,1,8,2,1,1,1,11,62160.336803,44053.430998,98,1,3,1,2
218,3,712.63143989,1,5,1,1,8,2,1,1,1,11,50695.926294,28792.837648,11,2,3,1,2
219,7,496.57832313,1,5,1,1,8,2,1,1,1,11,99836.329048,50253.9107,2,1,3,1,2
220,4,712.63143989,1,5,1,1,8,2,1,1,1,1,69849.067445,76821.393884,13,1,1,1,2
221,4,496.57832313,1,5,1,1,8,2,1,1,1,1,32278.123544,37278.766495,8,2,2,1,2
222,4,636.18917622,1,5,1,1,8,2,1,1,1,1,75392.387698,91709.288187,11,1,3,1,2
223,8,496.57832313,1,5,1,1,8,2,1,1,1,1,209277.72459,120592.59047,8,1,1,1,2
224,5,671.93230416,1,5,1,1,8,2,1,1,1,1,96798.007743,38019.991093,98,1,3,1,1
225,5,824.42645218,1,5,1,1,8,2,1,1,1,1,66228.939933,61578.719249,12,1,3,2,2
226,6,496.57832313,1,5,1,1,8,2,1,1,1,1,136603.24909,100417.47508,9,1,3,1,2
227,5,636.18917622,1,5,1,1,8,2,1,1,1,1,104240.27881,41649.630838,10,1,1,1,2
228,4,490.66451463,1,1,1,1,8,2,1,1,1,1,551297.16827,493844.73396,11,1,1,1,4
229,3,572.82572991,1,1,1,1,8,2,1,1,1,1,177627.00666,291613.61014,24,1,1,1,4
230,4,490.66451463,1,1,1,1,8,2,1,1,9,5,1432078.0071,375887.0723,13,1,1,1,4
231,1,891.31000169,1,1,1,1,8,2,1,1,1,1,19355.358578,21113.040422,11,1,3,2,4
232,12,774.10752665,1,1,1,1,8,2,1,1,1,1,355401.43373,414923.1241,5,1,1,1,2
233,13,774.10752665,1,1,1,1,8,2,1,1,1,11,62266.647084,38602.268115,98,1,3,1,2
234,6,1314.6205496,1,1,1,1,8,2,1,1,1,11,72688.715872,18483.876041,11,1,3,1,2
235,1,1472.5807514,1,1,1,2,1,2,1,1,1,1,39998.726153,57643.653564,13,3,3,1,2
236,3,1314.6205496,1,1,1,2,1,2,1,1,1,11,19618.688703,68269.647217,11,1,3,1,2
237,2,1026.1288504,1,1,1,1,8,2,1,1,1,1,221146.58868,78871.161881000007,11,1,1,1,2
238,2,774.10752665,1,1,1,1,8,2,1,1,1,1,52107.812919,34099.903836,8,1,1,1,2
239,2,1313.7603445,1,1,1,1,8,2,1,1,1,1,42710.004112,32842.211895,8,1,3,2,2
240,10,350.64832631,1,1,1,1,8,1,1,1,1,11,39343.459127,12545.434555,5,1,3,1,2
241,5,264.5277038,1,1,1,1,8,2,1,1,1,1,121227.18247,31475.033881,98,1,3,1,2
242,6,612.10261102,1,1,1,1,8,1,1,1,1,11,14881.408193,24025.614405,10,1,3,2,2
243,6,378.46025565,1,1,1,1,8,2,1,1,1,1,50180.579605,24814.94739,98,1,3,2,2
244,2,449.2315904,1,1,1,2,1,2,1,1,1,1,33507.714493,24828.068857,10,1,3,1,2
245,5,449.2315904,1,1,1,2,1,2,1,1,1,11,47643.08903,17066.60738,11,1,1,1,2
246,6,350.64832631,1,1,1,1,8,1,1,1,1,11,92586.703215,59947.43517,2,1,3,1,2
247,2,448.9376415,1,1,1,1,8,2,1,1,1,11,54970.900976,37294.038489,9,1,3,2,2
248,9,448.9376415,1,1,1,1,8,2,1,1,1,1,67545.494574,44387.11672,7,1,3,2,2
249,4,449.2315904,1,1,1,1,8,2,1,1,1,1,266678.71559,177766.91766,12,1,1,1,2
250,2,503.20968522,1,1,1,1,8,2,1,1,1,1,74199.781197,102747.55087,23,1,1,1,2
251,5,449.2315904,1,1,1,1,8,2,1,1,1,1,125075.68072,168925.05914,11,1,1,1,2
252,6,449.2315904,1,1,1,2,1,2,1,1,1,1,4155.255022,33699.387977,11,1,3,1,2
253,7,264.5277038,1,1,1,1,8,2,1,1,1,1,65250.837591,174955.10845,9,3,1,1,2
254,4,350.64832631,1,1,1,1,8,2,1,1,1,1,247275.78966,140746.83386,11,1,1,1,2
255,4,350.64832631,1,1,1,1,8,1,1,1,1,1,36590.395368,65209.734639,6,1,3,1,2
256,4,350.64832631,1,1,1,1,8,2,1,1,1,1,387225.01198,56081.177882,3,1,3,1,2
257,5,449.2315904,1,1,1,1,8,2,1,1,1,1,114245.14421,77648.839431,10,1,1,1,2
258,2,524.5175035,1,5,1,1,8,2,3,1,1,5,616510.57667,771297.4167,30,1,1,1,4
259,2,960.19218879,1,5,1,1,8,2,1,1,1,5,583865.63256,430574.18304,30,1,1,1,4
260,4,502.25260535,1,5,1,1,8,2,1,1,1,11,122473.95875,47230.795688,10,9,9,1,2
